Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST,Netznutzung,Energielieferungkosten,Abgaben an das Gemeinwesen,Förderabgaben (KEV)
Nidwalden,C6,2021,Standardprodukt,13.17,4.0724,5.8,1.0,2.3
Tessin,H8,2023,Günstigstes Produkt,26.45,8.647,13.372233,2.13,2.3
Tessin,C3,2023,Günstigstes Produkt,29.1,10.920667,13.750334,2.13,2.3
Waadt,C5,2018,Günstigstes Produkt,22.4,11.676534,6.3229065,2.1,2.3
Tessin,H7,2023,Günstigstes Produkt,25.15,7.83,12.891692,2.13,2.3
Tessin,C2,2023,Günstigstes Produkt,26.36,8.135,13.8,2.13,2.3
Waadt,H6,2019,Standardprodukt,16.12,5.699503,7.072343,1.0,2.3
Graubünden,H2,2019,Günstigstes Produkt,21.42,10.828571,7.8,2.0,2.3
Waadt,C5,2018,Standardprodukt,22.98,11.676534,6.89968,2.1,2.3
Nidwalden,C6,2020,Standardprodukt,14.54,4.3413,6.9,1.0,2.3
Tessin,C4,2023,Günstigstes Produkt,27.69,9.6928,13.5694,2.13,2.3
Tessin,H1,2023,Standardprodukt,30.81,13.36,12.65,2.13,2.3
Tessin,H7,2023,Standardprodukt,25.75,7.83,12.0,2.13,2.3
Tessin,H2,2023,Standardprodukt,29.33,10.93,12.65,2.13,2.3
Tessin,C5,2023,Standardprodukt,21.59,6.7076,10.6386,2.13,2.3
Tessin,H5,2023,Günstigstes Produkt,25.35,8.184,12.739467,2.13,2.3
Tessin,H3,2023,Günstigstes Produkt,25.97,8.866667,12.670222,2.13,2.3
Tessin,C5,2023,Günstigstes Produkt,24.71,6.7076,13.5694,2.13,2.3
Nidwalden,C1,2021,Standardprodukt,17.54,7.485,6.75,1.0,2.3
Graubünden,H2,2022,Günstigstes Produkt,22.67,10.72,7.65,2.0,2.3
Graubünden,H1,2023,Günstigstes Produkt,28.78,13.885,10.6,2.0,2.3
Nidwalden,H7,2020,Standardprodukt,16.81,6.8043075,6.7109613,1.0,2.3
Graubünden,H3,2018,Standardprodukt,20.3,10.380445,6.7466664,1.0,2.3
Nidwalden,H5,2019,Standardprodukt,17.5,7.4608,6.7366,1.0,2.3
Graubünden,H1,2020,Günstigstes Produkt,23.76,11.965834,7.955625,2.0,2.3
Nidwalden,H2,2021,Standardprodukt,21.0,9.96,7.74,1.0,2.3
Graubünden,H1,2022,Günstigstes Produkt,24.56,12.61,7.65,2.0,2.3
Graubünden,H2,2020,Günstigstes Produkt,22.14,9.7896,7.8,2.0,2.3
Graubünden,H1,2021,Günstigstes Produkt,23.17,12.565833,7.8,2.0,2.3
Graubünden,H1,2019,Günstigstes Produkt,23.55,13.023631,7.8,2.0,2.3
Graubünden,H2,2021,Günstigstes Produkt,21.54,10.3896,7.8,2.0,2.3
Graubünden,C7,2022,Standardprodukt,17.0,6.251198,7.4,1.0,2.3
Graubünden,C2,2020,Standardprodukt,19.7,8.62,7.40105,1.0,2.3
Graubünden,C7,2022,Günstigstes Produkt,18.33,6.5291095,7.5,2.0,2.3
Nidwalden,H3,2019,Standardprodukt,18.53,8.516444,6.7084446,1.0,2.3
Tessin,C1,2023,Standardprodukt,27.52,8.685,12.443,2.13,2.3
Solothurn,H3,2021,Standardprodukt,20.66,9.018095,7.476,1.0,2.3
Tessin,H1,2023,Günstigstes Produkt,30.21,11.985,13.8,2.13,2.3
Nidwalden,H6,2021,Standardprodukt,15.66,5.9228,6.444,1.0,2.3
Tessin,H4,2023,Günstigstes Produkt,27.92,9.693334,13.8,2.13,2.3
Tessin,C2,2023,Standardprodukt,26.78,8.135,12.3852,2.13,2.3
Tessin,C1,2023,Günstigstes Produkt,26.92,8.685,13.8,2.13,2.3
Nidwalden,H2,2018,Standardprodukt,21.82,11.3784,7.1432,1.0,2.3
Tessin,H2,2023,Günstigstes Produkt,28.73,10.5,13.8,2.13,2.3
Tessin,H5,2018,Günstigstes Produkt,16.87,6.530267,5.889467,2.15,2.3
Tessin,H2,2018,Standardprodukt,20.63,8.88,7.55,2.15,2.3
Nidwalden,C1,2023,Standardprodukt,18.34,8.585,6.45,1.0,2.3
Nidwalden,C1,2022,Standardprodukt,17.54,7.785,6.45,1.0,2.3
Solothurn,C1,2018,Standardprodukt,23.14,9.390312,8.09168,1.0,2.3
Nidwalden,H1,2018,Standardprodukt,24.7,14.236042,7.1575,1.0,2.3
Tessin,H7,2018,Günstigstes Produkt,16.77,6.2795386,6.0416923,2.15,2.3
Graubünden,H2,2018,Standardprodukt,22.72,13.12,8.0908575,1.0,2.3
Solothurn,H6,2019,Standardprodukt,17.1,6.4059143,6.417794,1.0,2.3
Tessin,H6,2023,Standardprodukt,24.09,7.1052,12.0,2.13,2.3
Graubünden,H7,2018,Standardprodukt,19.25,8.459132,7.043846,1.0,2.3
Tessin,C3,2023,Standardprodukt,27.94,10.920667,12.0,2.13,2.3
Tessin,H5,2023,Standardprodukt,25.95,8.184,12.0,2.13,2.3
Tessin,H6,2023,Günstigstes Produkt,23.59,7.1052,12.04684,2.13,2.3
Tessin,H4,2023,Standardprodukt,28.52,9.693334,12.148666,2.13,2.3
Tessin,H8,2023,Standardprodukt,27.05,8.647,12.1492,2.13,2.3
Waadt,H3,2020,Standardprodukt,19.6,8.553238,7.654286,1.0,2.3
Uri,H3,2021,Standardprodukt,20.79,10.621111,6.8686666,1.0,2.3
Tessin,C4,2023,Standardprodukt,26.5,9.6928,12.0,2.13,2.3
Nidwalden,C5,2018,Standardprodukt,15.08,4.8788166,6.9,1.0,2.3
Uri,H7,2019,Standardprodukt,19.19,8.886154,6.997846,1.0,2.3
Nidwalden,C2,2021,Standardprodukt,16.38,6.66,6.42,1.0,2.3
Tessin,H3,2023,Standardprodukt,26.57,9.01,12.0,2.13,2.3
Nidwalden,H3,2018,Standardprodukt,18.85,8.685778,6.857333,1.0,2.3
Nidwalden,H6,2019,Standardprodukt,15.79,5.92,6.57098,1.0,2.3
Graubünden,C7,2018,Günstigstes Produkt,17.49,6.0953283,6.7369604,2.0,2.3
Uri,C2,2022,Günstigstes Produkt,20.35,10.478333,6.5676,1.0,2.3
Solothurn,H7,2019,Standardprodukt,19.12,7.5887694,7.4674997,1.0,2.3
Graubünden,H6,2019,Standardprodukt,17.67,6.9799995,7.4,1.0,2.3
Uri,H6,2018,Standardprodukt,16.11,6.25924,6.55192,1.0,2.3
Nidwalden,H6,2020,Standardprodukt,15.69,5.84,6.5507,1.0,2.3
Uri,H2,2021,Standardprodukt,25.13,14.55,7.2796,1.0,2.3
Uri,H7,2020,Standardprodukt,19.16,8.8561535,6.997846,1.0,2.3
Solothurn,H4,2021,Standardprodukt,22.64,9.593333,7.967619,1.0,2.3
Uri,H4,2019,Standardprodukt,23.41,12.362223,7.7493334,1.0,2.3
Solothurn,H8,2021,Standardprodukt,21.37,8.58,7.9678574,1.0,2.3
Waadt,C3,2019,Standardprodukt,18.44,7.0708,7.704,1.0,2.3
Solothurn,H6,2018,Günstigstes Produkt,16.12,5.5941715,7.1114116,1.0,2.3
Uri,H1,2018,Günstigstes Produkt,26.98,15.97,7.705,1.0,2.3
Graubünden,C5,2023,Günstigstes Produkt,23.13,8.3804,10.45,2.0,2.3
Graubünden,H6,2022,Standardprodukt,18.39,7.43944,7.4,1.0,2.3
Graubünden,C6,2021,Günstigstes Produkt,18.05,6.050133,7.7,2.0,2.3
Graubünden,H8,2022,Standardprodukt,20.64,9.427,7.4,1.0,2.3
Graubünden,C5,2020,Günstigstes Produkt,18.94,6.1368,8.5,2.0,2.3
Graubünden,C5,2020,Standardprodukt,18.47,7.7512,7.4,1.0,2.3
Graubünden,C5,2019,Günstigstes Produkt,18.22,6.2168,7.7,2.0,2.3
Nidwalden,C6,2019,Standardprodukt,14.62,4.4213,6.9,1.0,2.3
Graubünden,C6,2020,Günstigstes Produkt,18.75,5.9501333,8.5,2.0,2.3
Nidwalden,H3,2020,Standardprodukt,18.39,8.436444,6.648889,1.0,2.3
Nidwalden,H6,2018,Standardprodukt,15.95,6.033,6.62168,1.0,2.3
Graubünden,H6,2021,Standardprodukt,18.26,7.0492,7.4,1.0,2.3
Graubünden,C3,2020,Standardprodukt,20.12,8.308,7.4,1.0,2.3
Uri,C2,2021,Günstigstes Produkt,20.35,10.478333,6.5676,1.0,2.3
Solothurn,H3,2018,Standardprodukt,20.48,8.835191,6.5606666,1.0,2.3
Graubünden,C4,2019,Standardprodukt,19.66,8.133,7.4,1.0,2.3
Nidwalden,C1,2019,Standardprodukt,18.45,8.087167,7.056573,1.0,2.3
Solothurn,H2,2021,Standardprodukt,24.54,11.62,7.9685717,1.0,2.3
Uri,H2,2022,Standardprodukt,25.13,14.55,7.2796,1.0,2.3
Nidwalden,H4,2021,Standardprodukt,18.76,8.36,7.1,1.0,2.3
Solothurn,H5,2018,Standardprodukt,19.73,8.053028,6.6764,1.0,2.3
Nidwalden,H7,2019,Standardprodukt,16.98,6.884308,6.7953463,1.0,2.3
Uri,H3,2019,Günstigstes Produkt,20.26,10.117778,6.8386664,1.0,2.3
Nidwalden,H3,2021,Standardprodukt,18.36,7.9555554,7.1,1.0,2.3
Solothurn,H3,2022,Standardprodukt,21.26,10.034445,7.9015713,1.0,2.3
Nidwalden,C2,2018,Standardprodukt,17.91,7.1917057,7.416867,1.0,2.3
Solothurn,H1,2019,Standardprodukt,26.38,14.265,7.9254017,1.0,2.3
Nidwalden,H8,2020,Standardprodukt,17.82,7.7360888,6.780028,1.0,2.3
Graubünden,C7,2021,Standardprodukt,16.61,5.6289496,7.4,1.0,2.3
Waadt,H5,2019,Standardprodukt,18.48,7.087886,7.941143,1.0,2.3
Nidwalden,C4,2020,Standardprodukt,15.7,5.496333,6.9,1.0,2.3
Graubünden,H6,2020,Standardprodukt,18.09,6.94672,7.4,1.0,2.3
Graubünden,C6,2022,Günstigstes Produkt,18.75,6.9509335,7.5,2.0,2.3
Uri,H3,2020,Günstigstes Produkt,20.23,10.087778,6.8386664,1.0,2.3
Nidwalden,C4,2018,Standardprodukt,15.81,5.6077,6.9,1.0,2.3
Graubünden,C5,2022,Günstigstes Produkt,18.94,7.1392,7.5,2.0,2.3
Nidwalden,H4,2023,Standardprodukt,19.56,9.46,6.8,1.0,2.3
Nidwalden,H4,2022,Standardprodukt,18.76,8.66,6.8,1.0,2.3
Nidwalden,H8,2021,Standardprodukt,17.64,7.56,6.78,1.0,2.3
Waadt,H7,2020,Standardprodukt,18.55,7.165121,7.932088,1.0,2.3
Uri,H4,2020,Standardprodukt,23.38,12.332222,7.7493334,1.0,2.3
Solothurn,H6,2020,Standardprodukt,17.02,6.246,7.2738,1.0,2.3
Graubünden,C3,2019,Standardprodukt,20.2,8.6,7.4,1.0,2.3
